dong,apt_name,base_count,base_median_pp,base_avg_pp,base_median_price,base_median_area,end_count,end_median_pp,end_avg_pp,end_median_price,end_median_area,median_growth_pct,avg_growth_pct,two_window_count
이매동,아름마을(풍림),27,2431.4504265960577,2399.5966418822863,75000.0,101.97,3,6752.3659347970715,6307.487452750585,163000.0,75.15,177.70938123752492,162.856154349461,30
이매동,아름마을(태영),11,1741.3146375843908,1838.0806234411482,67500.0,101.85,1,4706.342660775651,4706.342660775651,145000.0,101.85,170.27525980626024,156.04658472296546,12
정자동,상록마을(우성)1,45,2431.2120023534026,2467.6318560119803,69000.0,84.97,15,6355.001813565469,6087.45033355992,142500.0,69.12,161.39233466328133,146.69199818963455,60
정자동,상록마을(보성),9,2451.10106028027,2474.372634693208,55000.0,67.435,1,6362.514332514333,6362.514332514333,94000.0,48.84,159.57780507780507,157.13646535309368,10
수내동,양지마을(5단지)(한양501-514),34,2759.3453951182746,2753.5057354368364,32300.0,42.56,13,7157.857549857549,7215.750200245914,79400.0,35.1,159.40418921534612,162.05684293231207,47
구미동,무지개(1단지)(대림),27,1750.7473225844417,1720.492997135884,45000.0,84.97,8,4524.695789415899,4512.2529435081215,69000.0,47.52,158.44367893914995,162.26511534889698,35
이매동,이매촌(금강),10,2359.327765932244,2405.74743278672,63850.0,84.42,2,6082.099567099567,6082.099567099567,93500.0,50.82,157.78951339117307,152.81538220553395,12
이매동,아름마을(선경),11,2740.9899497487436,2773.9147399871927,69000.0,83.58,4,7005.826149425288,6883.966298893208,89650.0,41.76,155.59474050853365,148.16791228864489,15
이매동,이매촌(동신9),15,2305.8434030847825,2316.161092174324,80000.0,117.12,1,5861.347517730496,5861.347517730496,150000.0,84.6,154.1953850764159,153.0630333759767,16
서현동,시범한양,68,2495.0908933688966,2505.6620816595328,54750.0,72.03,22,6336.526866582005,6192.046572529959,79750.0,35.1,153.95976088175144,147.12217253289342,90
금곡동,청솔마을(계룡),24,2445.9606071389935,2446.6742956218654,51950.0,70.205,1,6153.65367965368,6153.65367965368,103200.0,55.44,151.58433303026592,151.5109465393562,25
정자동,한솔마을(4단지)(주공),58,2655.9335344313163,2660.5828508374775,30650.0,36.0,13,6652.82879818594,6441.855078578324,74000.0,36.0,150.48928039573218,142.1219499535828,71
정자동,정든마을(4단지)(우성),11,1681.9518963922294,1686.0610805145109,62000.0,129.72,1,4204.879740980573,4204.879740980573,165000.0,129.72,149.99999999999994,149.39071244663512,12
서현동,시범우성,73,2367.1160493827165,2249.107009967357,61000.0,84.6,5,5912.688580246914,5684.732148165551,165000.0,84.6,149.7844827586207,152.7550767025557,78
서현동,효자촌(현대),21,1967.7380952380952,2011.090756091644,65000.0,101.64,5,4911.214088941361,4952.900015129555,125000.0,101.64,149.5867768595041,146.27928899414897,26
정자동,한솔마을(6단지)(주공),43,2630.3237669702703,2647.7545030624556,33700.0,39.87,3,6550.243290694758,6522.6051333500545,79000.0,39.87,149.02802358204116,146.34478482827072,46
이매동,이매촌(한신),33,2693.7256677229516,2665.732333784751,52000.0,66.27,4,6697.379241516966,6365.11770087404,118500.0,58.185,148.6288534043025,138.7755747343537,37
구미동,무지개(3단지)(신한),16,1908.9322990332905,1939.1939748564423,39750.0,69.72,2,4670.195029708604,4670.195029708604,97500.0,69.114,144.6495893056896,140.8317625911733,18
야탑동,매화마을(주공4),19,2172.2700119474316,2169.9672911926514,25900.0,41.85,6,5293.2960799014945,5273.548170701973,61000.0,38.565,143.675788497217,143.02431617775858,25
이매동,이매촌(동부코오롱),5,2147.984152139461,2195.5176716417677,79500.0,126.2,1,5215.738092890248,5215.738092890248,160000.0,101.41,142.82013848636663,137.56302034180462,6
수내동,양지마을(금호1),24,2188.71528919444,2164.9684831160066,89350.0,133.82,1,5311.216559557615,5311.216559557615,215000.0,133.82,142.6636568848759,145.3253523540103,25
구미동,하얀마을(5단지)(주공),26,2559.219687259677,2597.494104204157,29250.0,38.07,3,6184.319727891156,6153.085789871504,66000.0,35.28,141.64864621345225,136.88545740729376,29
정자동,느티마을(3단지)(공무원),37,2917.026546047753,2890.0356863278166,55500.0,66.6,3,7048.402402402403,7037.023592233716,142000.0,66.6,141.6296969238146,143.49261933077412,40
정자동,한솔마을(3단지)(한일),14,2176.097739048516,2166.0347080116967,52900.0,84.92,3,5255.334432406971,5224.300533727962,138500.0,84.92,141.50268336314852,141.19191231813585,17
수내동,양지마을(3단지)(금호),12,2034.168277810827,2108.993348112425,78000.0,134.48,4,4904.127751338489,5044.66009232581,192000.0,134.48,141.08761329305136,139.19753454134144,16
수내동,푸른마을(벽산),20,1945.994140030441,1955.8057390812587,72500.0,131.4,2,4677.284523237053,4677.284523237053,165500.0,124.275,140.35450194952213,139.14872677662817,22
이매동,아름마을(건영),11,1846.843229516768,1892.9355741128225,71000.0,133.89,2,4418.7047512570225,4418.7047512570225,156000.0,117.86999999999999,139.25716490907516,133.4313334106985,13
정자동,상록마을(라이프2차),8,2534.5246520405753,2537.8062213357566,64650.0,84.78,2,6063.086532642985,6063.086532642985,108875.0,60.375,139.21986822110895,138.9105394127264,10
서현동,효자촌(삼환),12,2115.3003315232245,2024.7671094842078,57650.0,84.157,2,5052.697934705584,5052.697934705584,136500.0,89.322,138.86432859711908,149.5446469393073,14
구미동,까치마을(4단지)(선경),17,2534.2257341667646,2468.1679829788645,54000.0,70.66,1,6035.2136994056045,6035.2136994056045,129000.0,70.66,138.1482287879118,144.52199935442098,18
야탑동,매화마을(주공3),31,2284.916536254564,2297.4159374685128,29200.0,41.85,5,5438.112554112554,5433.572416542472,76000.0,46.2,138.0004900759618,136.50799700334807,36
분당동,샛별마을(삼부),25,2188.2364066193854,2163.573480495835,55000.0,84.6,3,5197.061465721041,4976.880432866765,110500.0,84.6,137.5,130.03057107753938,28
정자동,한솔마을(1단지)(청구),23,2256.6515624080503,2184.2419717601465,55800.0,84.965,6,5358.946301925025,5285.567405631279,83250.0,49.35,137.4733605841456,141.98634922173778,29
서현동,효자촌(대창),8,2071.7525330121234,2070.3817050527773,45400.0,70.686,6,4912.218684980833,4877.711038484652,102000.0,70.686,137.10450967032014,135.5947710791963,14
분당동,샛별마을(라이프),35,2080.709411764706,2021.668966829322,54000.0,85.0,6,4904.640004063215,4687.7101363095,120500.0,81.755,135.71960487761993,131.87327961320267,41
야탑동,매화마을공무원1,23,2160.103530210455,2161.6341047298597,37000.0,58.92,6,5087.893503820123,5149.70985175413,87000.0,58.92,135.53933562269668,138.23226329035418,29
서현동,시범현대,59,2257.050029429076,2169.0808636158295,63300.0,84.95,9,5310.5587126436785,5393.693773240146,166500.0,108.75,135.2875941339675,148.66264156924646,68
분당동,샛별마을(우방),38,2270.887663508379,2201.637196747043,58000.0,84.99,6,5317.447513688387,5274.896785863595,105750.0,64.8,134.15722402900653,139.58973774867837,44
수내동,푸른마을(신성),14,2372.345600535296,2362.0583970799985,64750.0,84.72,4,5529.9431247909,5360.356181511443,125000.0,72.25,133.1002331002331,126.93580260919761,18
이매동,아름마을(삼호),16,1899.2408830620857,2051.9213122282363,73250.0,132.72,1,4424.429292929293,4424.429292929293,212000.0,158.4,132.95777446597123,115.62373111299706,17
정자동,정든마을(2단지)(동아),35,2245.1961479979727,2257.688943490855,37500.0,48.84,8,5219.4086896959425,5175.080151958448,93750.0,58.947500000000005,132.47005364542676,129.22024607857193,43
금곡동,청솔마을(주공9단지),31,2822.6863711001643,2836.102474582714,35000.0,42.84,12,6500.321018062397,6452.823891625616,71850.0,36.54,130.28846153846155,127.52435602930899,43
금곡동,청솔마을(대원),24,2011.0602549246814,2097.069662715936,67900.0,115.56,3,4629.754030834412,4855.835948502739,119000.0,84.97,130.2145855399945,131.55339256655387,27
금곡동,청솔마을(한라),28,2525.2638888888887,2536.6969974188028,51750.0,63.96,7,5810.976562499999,5747.9850706894085,104000.0,58.8,130.11363636363632,126.59328554171934,35
분당동,샛별마을(동성),18,2240.041245791246,2219.0029301078325,50000.0,77.10499999999999,3,5135.685833693617,5131.584652002565,107800.0,69.39,129.26746743359837,131.25632609025874,21
야탑동,목련마을(영남),12,1736.0023548804897,1726.0154177672218,35500.0,69.265,2,3978.061567164179,3978.061567164179,64500.0,53.6,129.1507010909578,130.47659518072035,14
서현동,효자촌(화성),15,2212.0977279800804,2211.4249647260876,47500.0,70.686,2,5046.201793848852,5046.201793848852,107900.0,70.686,128.11839323467228,128.18779177858679,17
백현동,판교푸르지오그랑블,32,3909.325205757059,3923.164546173074,129000.0,105.1308,2,8897.36267298177,8897.36267298177,298500.0,110.7421,127.5933109857192,126.79045368262396,34
수내동,파크타운(대림),31,2326.6545853000675,2248.2218540503413,66000.0,84.78,3,5279.6258270590915,5320.997136431051,180000.0,131.49,126.91919378218235,136.67580345084153,34
정자동,한솔마을(5단지)(주공),51,2432.942413381123,2391.028607106937,32500.0,42.75,1,5516.28621011881,5516.28621011881,125000.0,74.91,126.73311870348316,130.70766253998642,52
정자동,정든마을(1단지)(동아),14,1488.6664729808253,1539.116230468396,68000.0,154.89,1,3372.176383239719,3372.176383239719,158000.0,154.89,126.52329749103943,119.09822770262592,15
서현동,효자촌(대우),7,2151.300116005998,2155.760147264614,46000.0,70.686,6,4850.795422253223,4629.270870803534,81000.0,53.82,125.48204158790175,114.73960712547226,13
정자동,정든마을(6단지)(우성),30,2262.0052906614337,2275.434554014809,41250.0,58.947500000000005,5,5084.948334706367,5206.354543099655,127000.0,84.97,124.7982511667546,128.80704408366697,35
구미동,까치마을(2단지)(주공),27,2480.1767255751915,2473.107850834455,42500.0,58.14,7,5572.211902304782,5314.949615816212,98200.0,58.14,124.66995375148113,114.90973853092932,34
야탑동,탑마을(선경)1,51,2122.1396154305507,2119.6950519452093,54000.0,83.73,3,4737.800071658903,4563.267512677391,120000.0,83.73,123.25581395348833,115.27943410962607,54
야탑동,매화마을공무원2,63,2025.174774774775,2028.7748162419975,36900.0,58.71,1,4504.581842956907,4504.581842956907,80000.0,58.71,122.42928852685684,122.03458988617437,64
이매동,아름마을(효성),10,2181.0418105101653,2166.748456358886,90950.0,130.35,3,4843.9416954353665,4886.2099475770365,191000.0,130.35,122.0930232558139,125.5088694415443,13
금곡동,청솔마을(영남),7,2373.5145951035784,2506.208739419181,60000.0,84.96,2,5271.327936588245,5271.327936588245,109000.0,69.28,122.08955223880595,110.33076190652369,9
수내동,"양지마을(6단지)(금호,청구)",8,2491.723768228274,2497.820102853698,44750.0,59.7825,2,5507.95287895908,5507.95287895908,104500.0,62.5165,121.04989923804754,120.51039114732004,10
야탑동,탑마을(주공),16,2603.8424316680075,2589.8299802806428,28625.0,35.28,2,5739.236111111111,5739.236111111111,61250.0,35.28,120.41410959858227,121.60667514124567,18
