dong,apt_name,base_count,base_median_pp,base_avg_pp,base_median_price,base_median_area,end_count,end_median_pp,end_avg_pp,end_median_price,end_median_area,median_growth_pct,avg_growth_pct,two_window_count
정자동,한솔마을(5단지)(주공),33,5349.190938511328,5521.140332923084,74800.0,42.75,46,8771.817739470629,9013.45727161749,115250.0,42.3,63.98400880249404,63.2535441613282,79
정자동,정든마을(6단지)(우성),21,5245.6900081900085,5282.5235600743745,80500.0,48.84,3,8494.633497133496,8494.633497133496,125500.0,48.84,61.93548387096772,60.806353261468416,24
정자동,한솔마을(4단지)(주공),42,5612.738662131519,5513.440092025347,63000.0,36.0,18,8847.063321385904,8372.48449704722,99500.0,36.0,57.62471502683688,51.85590769648882,60
정자동,한솔마을(6단지)(주공),31,5879.707990443323,5790.641364557548,70000.0,39.87,14,9013.441421679125,8523.809650038109,108200.0,37.67,53.29743307540553,47.1997506564525,45
정자동,정든마을(2단지)(동아),19,5008.787878787879,5117.9301881913425,80500.0,48.84,3,7420.157845195859,7732.37291368817,150000.0,69.055,48.142784736804,51.08398570049197,22
금곡동,청솔마을(주공9단지),39,5971.067323481117,6022.647913276716,66500.0,36.54,19,8775.659551176794,8752.803791086912,97600.0,36.54,46.969696969697,45.33148736441428,58
구미동,무지개(5단지)(청구),11,4634.563173191998,4555.309241417016,86500.0,58.49,5,6782.2310514617875,6646.544739311898,128000.0,58.49,46.340243902439006,45.90765164483901,16
구미동,하얀마을(5단지)(주공),17,5644.260572629367,5712.980495542089,65000.0,38.07,9,8211.53601640605,8196.417594744944,89000.0,35.28,45.484708063021316,43.47007837924026,26
야탑동,매화마을(주공4),17,4265.548387096775,4289.705793428483,51000.0,41.85,3,6106.053524492235,6201.421148578906,74000.0,41.85,43.14814814814816,44.56518575420794,20
이매동,이매촌(삼성),18,5427.287614786908,4830.10171740704,142250.0,84.94,4,7762.424573378839,7684.174799554756,169500.0,73.25,43.025856087481664,59.089295611767724,22
야탑동,장미마을(현대),39,4629.754030834412,4359.378184274785,103000.0,75.188,18,6582.549989840939,6337.117559293968,103750.0,59.4,42.17925932999464,45.367465069979815,57
