dong,base_count,base_median_pp,base_avg_pp,base_median_price,base_median_area,end_count,end_median_pp,end_avg_pp,end_median_price,end_median_area,median_growth_pct,avg_growth_pct
정자동,280,5528.910802672323,5620.018102129895,97000.0,50.58,108,8705.87616424574,8472.106736315072,115250.0,42.75,57.460962474523434,50.74874461888801
분당동,99,4494.663080830718,4864.4002579915,109000.0,70.68,30,6958.545801696566,6649.0415993847955,164000.0,84.71,54.817962471404314,36.68779801706057
구미동,169,4792.358772914328,4881.7178219905645,99000.0,60.72,58,7169.490347309224,6732.722300687767,131500.0,59.195,49.60253785317734,37.91707235430577
서현동,176,5604.388672644245,6035.536987742488,139250.0,84.585,77,7893.281323877069,7812.296598175959,176000.0,84.57,40.84107625163844,29.43830207721159
야탑동,219,4335.660023846023,4257.094739800801,87000.0,67.43,83,5827.802759325498,5519.017806574516,104900.0,59.4,34.41558441558441,29.64282319055842
수내동,146,6116.432365439094,6287.701061200526,171500.0,84.9,74,8213.330444281866,8593.463008961056,149250.0,59.76,34.28302568489594,36.67098555287049
운중동,99,6165.070008236264,6014.735769390414,134700.0,81.019,22,8225.915728956632,7598.108970631528,149400.0,59.84,33.42777483414088,26.324900410406336
금곡동,128,5785.602353585113,5552.205426707762,112000.0,58.754999999999995,63,7427.645867542419,7115.094250914649,145000.0,58.8,28.381548084440954,28.148973319483584
이매동,157,5353.390911767593,5309.339373650497,154000.0,84.99,41,6779.92927864215,6844.564456191347,181500.0,84.99,26.647379023616647,28.915557558063743
백현동,58,7452.504923080278,7497.547466040185,220000.0,101.83,14,9057.787861806493,8322.540564772075,247250.0,93.075,21.54017951406757,11.00350617943613
삼평동,108,6830.971779430865,7047.828953992399,158000.0,83.698,9,8221.308343845738,8532.119994992794,193000.0,83.235,20.35342275313441,21.06025913355325
대장동,38,4420.48868155152,4399.636487830179,115200.0,84.973,33,4825.883134098877,4823.610436949257,128000.0,84.9852,9.170806255861063,9.636567709442145
판교동,87,5795.159290223753,5750.742735991344,152000.0,84.9907,25,6100.65010884623,6560.4731286477,175000.0,101.06,5.271482686210716,14.08044890599285
