apt_name,dong,jibun,area_m2,price_manwon,floor,build_year,deal_year,deal_month,deal_day,deal_date,deal_ym,price_per_pyeong
시범삼성,서현동,87,192.15,265000,27,1991,2025,6,12,2025-06-12,2025-06,4559.130887327608
무지개(12단지)(주공뜨란체),구미동,212,49.67,61200,12,1995,2025,6,11,2025-06-11,2025-06,4073.1822025367424
탑마을(선경)1,야탑동,536,51.84,92000,6,1992,2025,6,7,2025-06-07,2025-06,5866.774691358024
THESHARP판교퍼스트파크,백현동,608,114.5609,163000,6,2021,2025,6,25,2025-06-25,2025-06,4703.571637443491
파크뷰,정자동,6,139.717,265000,9,2004,2025,6,9,2025-06-09,2025-06,6270.081665080125
까치마을(1단지)(대우롯데선경),구미동,77,70.66,125000,15,1995,2025,6,3,2025-06-03,2025-06,5848.07529012171
로얄팰리스,정자동,28-1,137.76,195000,25,2003,2025,6,20,2025-06-20,2025-06,4679.377177700349
상록마을(우성)1,정자동,121,162.57,235000,10,1994,2025,6,9,2025-06-09,2025-06,4778.636894876054
청솔마을(대원),금곡동,141,129.45,160000,12,1994,2025,6,4,2025-06-04,2025-06,4085.963692545384
미켈란쉐르빌,정자동,180,194.81,268000,9,2003,2025,6,24,2025-06-24,2025-06,4547.787074585493
푸른마을(신성),수내동,73,59.78,109500,3,1992,2025,6,16,2025-06-16,2025-06,6055.287721646036
백현마을2단지,백현동,545,84.82,195000,2,2009,2025,6,4,2025-06-04,2025-06,7599.988210327754
산운마을9단지(대방노블랜드),운중동,958,84.99,157000,17,2008,2025,6,16,2025-06-16,2025-06,6106.725497117309
청솔마을(한라),금곡동,181,58.8,114400,8,1995,2025,6,3,2025-06-03,2025-06,6431.6925170068025
매화마을(주공3),야탑동,205,41.85,54000,14,1993,2025,6,26,2025-06-26,2025-06,4265.548387096775
파크타운(서안),수내동,52,131.49,203000,3,1993,2025,6,12,2025-06-12,2025-06,5103.638299490455
산운마을14단지(경남아너스빌),운중동,916,115.44,153500,7,2009,2025,6,16,2025-06-16,2025-06,4395.705994455995
청솔마을(주공9단지),금곡동,133,36.54,69000,11,1995,2025,6,25,2025-06-25,2025-06,6242.4794745484405
시범현대,서현동,92,129.73,217000,6,1991,2025,6,11,2025-06-11,2025-06,5529.627688275649
판교원마을11단지(힐스테이트),판교동,513,101.76,160000,7,2009,2025,6,13,2025-06-13,2025-06,5197.798742138365
까치마을(3단지)(신원),구미동,66,130.83,164000,1,1995,2025,6,12,2025-06-12,2025-06,4143.936406023083
장미마을(현대),야탑동,334,84.97,119000,8,1993,2025,6,21,2025-06-21,2025-06,4629.754030834412
장미마을(동부),야탑동,330,131.73,154500,8,1993,2025,6,21,2025-06-21,2025-06,3877.219312229561
무지개(12단지)(주공뜨란체),구미동,212,59.98,66000,1,1995,2025,6,24,2025-06-24,2025-06,3637.5925308436144
산운마을6단지(신동아파밀리에),운중동,988,101.06,186000,10,2009,2025,6,6,2025-06-06,2025-06,6084.294478527608
파크뷰,정자동,6,139.68,280000,25,2004,2025,6,11,2025-06-11,2025-06,6626.746849942726
장안타운(건영),분당동,66,53.72,78000,7,1993,2025,6,19,2025-06-19,2025-06,4799.932985852569
까치마을(3단지)(신원),구미동,66,101.86,162000,10,1995,2025,6,7,2025-06-07,2025-06,5257.604555271942
아름마을(효성),이매동,143,101.76,178000,7,1994,2025,6,15,2025-06-15,2025-06,5782.551100628931
봇들마을1단지(판교신미주),삼평동,705,82.794,158000,4,2009,2025,6,22,2025-06-22,2025-06,6308.626228953789
이매촌(삼성),이매동,100,84.94,139500,3,1994,2025,6,16,2025-06-16,2025-06,5429.233576642336
장미마을(동부),야탑동,330,70.56,107000,10,1993,2025,6,3,2025-06-03,2025-06,5013.047052154195
성원상떼뷰101동,정자동,12-3,144.56,198000,13,2004,2025,6,13,2025-06-13,2025-06,4527.866629773104
샛별마을(우방),분당동,38,133.86,189000,7,1994,2025,6,25,2025-06-25,2025-06,4667.534737785746
봇들마을4단지(주공),삼평동,718,74.45,158000,17,2009,2025,6,4,2025-06-04,2025-06,7015.666890530557
판교푸르지오월드마크,삼평동,741,127.6,259000,13,2013,2025,6,9,2025-06-09,2025-06,6710.048589341693
분당더샾스타파크,정자동,174-1,117.2333,175000,4,2007,2025,6,27,2025-06-27,2025-06,4934.7327081980975
탑마을(경남)1,야탑동,525,134.79,135900,11,1994,2025,6,26,2025-06-26,2025-06,3333.0233696861787
샛별마을(라이프),분당동,34,85.0,147000,7,1992,2025,6,23,2025-06-23,2025-06,5717.089411764707
장안타운(건영),분당동,66,53.72,71000,9,1993,2025,6,5,2025-06-05,2025-06,4369.169769173493
판교원마을3단지(푸르지오),판교동,629,84.51,162000,16,2009,2025,6,30,2025-06-30,2025-06,6336.99680511182
