apt_name,dong,jibun,area_m2,price_manwon,floor,build_year,deal_year,deal_month,deal_day,deal_date,deal_ym,price_per_pyeong
탑마을(선경)1,야탑동,536,131.4,62000,10,1992,2017,4,24,2017-04-24,2017-04,1559.814307458143
효자촌(동아),서현동,291,166.8,82000,11,1992,2017,4,18,2017-04-18,2017-04,1625.1534772182254
산운마을4단지(리가),운중동,899,84.8536,64300,15,2009,2017,4,25,2017-04-25,2017-04,2505.055059537839
이매촌(진흥),이매동,111,101.89,71700,7,1993,2017,4,1,2017-04-01,2017-04,2326.291687113554
판교푸르지오그랑블,백현동,542,117.5193,149500,14,2011,2017,4,22,2017-04-22,2017-04,4205.412217397483
판교원마을11단지(힐스테이트),판교동,513,101.76,79000,2,2009,2017,4,5,2017-04-05,2017-04,2566.4131289308175
샛별마을(라이프),분당동,34,58.17,36000,13,1992,2017,4,17,2017-04-17,2017-04,2045.87931923672
샛별마을(우방),분당동,38,72.32,51350,10,1994,2017,4,12,2017-04-12,2017-04,2347.2459900442477
상록마을(라이프2차),정자동,125,84.78,66900,7,1994,2017,4,25,2017-04-25,2017-04,2608.610757254069
산운마을13단지(태영),운중동,918,84.62,68500,29,2010,2017,4,6,2017-04-06,2017-04,2676.049397305602
상록마을(보성),정자동,181,84.97,55500,1,1995,2017,4,23,2017-04-23,2017-04,2159.255031187478
시범한양,서현동,91,134.87,76700,7,1991,2017,4,24,2017-04-24,2017-04,1879.9945132349671
시범한양,서현동,91,84.93,60000,12,1991,2017,4,28,2017-04-28,2017-04,2335.4291769692686
양지마을(6단지)(한양603동),수내동,29,59.4,42500,17,1993,2017,4,19,2017-04-19,2017-04,2365.2609427609427
효자촌(현대),서현동,299,128.04,69500,6,1992,2017,4,4,2017-04-04,2017-04,1794.3853483286475
매화마을(주공3),야탑동,205,41.85,26950,14,1993,2017,4,29,2017-04-29,2017-04,2128.8246117084827
봇들마을4단지(주공),삼평동,718,84.61,75000,14,2009,2017,4,29,2017-04-29,2017-04,2930.327384469921
판교원마을5단지(푸르지오),판교동,634,116.04,94500,22,2009,2017,4,28,2017-04-28,2017-04,2692.158738366081
한솔마을(3단지)(한일),정자동,107,130.51,67650,7,1993,2017,4,28,2017-04-28,2017-04,1713.5650141751591
하얀마을(5단지)(주공),구미동,110,38.07,27450,14,1995,2017,4,29,2017-04-29,2017-04,2383.614657210402
푸른마을(쌍용),수내동,75,84.72,65000,10,1992,2017,4,29,2017-04-29,2017-04,2536.3196411709164
한솔마을(1단지)(청구),정자동,110,101.99,63000,12,1994,2017,4,29,2017-04-29,2017-04,2042.017844886754
매화마을공무원2,야탑동,215,58.71,35300,17,1995,2017,4,29,2017-04-29,2017-04,1987.6467382047351
상록마을(우성)1,정자동,121,129.72,73000,6,1994,2017,4,28,2017-04-28,2017-04,1860.3407338883749
한솔마을(6단지)(주공),정자동,117,37.67,29400,4,1995,2017,4,17,2017-04-17,2017-04,2580.050968940802
장미마을(코오롱)1,야탑동,330,59.55,44000,7,1993,2017,4,29,2017-04-29,2017-04,2442.572628043661
푸른마을(쌍용),수내동,75,84.72,59800,4,1992,2017,4,15,2017-04-15,2017-04,2333.414069877243
매화마을공무원2,야탑동,215,58.71,35000,5,1995,2017,4,24,2017-04-24,2017-04,1970.7545562936468
판교원마을6단지(판교대광로제비앙),판교동,635,58.14,58250,20,2009,2017,4,25,2017-04-25,2017-04,3312.054523563812
파크타운(롯데),수내동,55,101.91,74200,14,1993,2017,4,28,2017-04-28,2017-04,2406.931213816112
이매촌(진흥),이매동,111,84.63,64500,2,1993,2017,4,29,2017-04-29,2017-04,2519.485997873095
두산위브트레지움,금곡동,192,147.6,75000,13,2003,2017,4,22,2017-04-22,2017-04,1679.7764227642276
효자촌(현대),서현동,299,128.04,71000,4,1992,2017,4,29,2017-04-29,2017-04,1833.1130896594816
청솔마을(대원),금곡동,141,129.45,59000,1,1994,2017,4,25,2017-04-25,2017-04,1506.6991116261106
푸른마을(쌍용),수내동,75,84.72,58500,9,1992,2017,4,4,2017-04-04,2017-04,2282.6876770538247
판교원마을6단지(판교대광로제비앙),판교동,635,83.33,68000,2,2009,2017,4,28,2017-04-28,2017-04,2697.6407056282255
무지개(1단지)(대림),구미동,211,101.64,50200,2,1995,2017,4,24,2017-04-24,2017-04,1632.7347500983865
한솔마을(3단지)(한일),정자동,107,84.92,50000,1,1993,2017,4,28,2017-04-28,2017-04,1946.42016015073
장미마을(현대),야탑동,334,133.448,64000,18,1993,2017,4,21,2017-04-21,2017-04,1585.42053833703
샛별마을(라이프),분당동,34,85.0,55000,12,1992,2017,4,20,2017-04-20,2017-04,2139.04705882353
샛별마을(우방),분당동,38,72.32,51000,11,1994,2017,4,28,2017-04-28,2017-04,2331.247234513274
