apt_name,dong,jibun,area_m2,price_manwon,floor,build_year,deal_year,deal_month,deal_day,deal_date,deal_ym,price_per_pyeong
분당더샾스타파크,정자동,174-1,117.2333,80000,7,2007,2017,4,7,2017-04-07,2017-04,2255.8778094619875
파크뷰,정자동,6,162.869,143000,7,2004,2017,4,15,2017-04-15,2017-04,2902.513062645439
파크뷰,정자동,6,84.99,83500,18,2004,2017,4,15,2017-04-15,2017-04,3247.8444522885047
삼라마이다스빌,금곡동,208,146.056,60000,14,2004,2017,4,28,2017-04-28,2017-04,1358.0270581146956
삼성아데나루체,정자동,170-1,127.75,80200,7,2004,2017,4,5,2017-04-05,2017-04,2075.3437181996087
분당더샾스타파크,정자동,174-1,116.7905,82200,32,2007,2017,4,7,2017-04-07,2017-04,2326.7025999546195
삼성아데나루체,정자동,170-1,128.21,82700,17,2004,2017,4,3,2017-04-03,2017-04,2132.3583183839014
미켈란쉐르빌,정자동,180,155.11,82500,8,2003,2017,4,19,2017-04-19,2017-04,1758.2908903358905
파크뷰,정자동,6,162.869,118000,8,2004,2017,4,10,2017-04-10,2017-04,2395.0807090360963
파크뷰,정자동,6,182.232,150000,4,2004,2017,4,26,2017-04-26,2017-04,2721.0917950744106
파크뷰,정자동,6,162.869,145000,10,2004,2017,4,22,2017-04-22,2017-04,2943.1076509341865
동양정자파라곤(3단지),정자동,13-1,146.37,86000,6,2004,2017,4,7,2017-04-07,2017-04,1942.329712372754
현대I-PARK1,정자동,9,80.82,63600,19,2003,2017,4,3,2017-04-03,2017-04,2601.4461766889385
아데나팰리스,정자동,169-1,139.13,86500,6,2003,2017,4,10,2017-04-10,2017-04,2055.284266513333
로얄팰리스,정자동,28-1,208.87,117000,19,2003,2017,4,19,2017-04-19,2017-04,1851.7671278785847
현대I-PARK2,정자동,10-1,162.01,102800,18,2003,2017,4,28,2017-04-28,2017-04,2097.6250848713044
삼성아데나루체,정자동,170-1,127.88,81300,15,2004,2017,4,10,2017-04-10,2017-04,2101.6698467313104
분당더샾스타파크,정자동,174-1,116.7905,82000,18,2007,2017,4,4,2017-04-04,2017-04,2321.041523069085
분당더샾스타파크,정자동,174-1,116.7905,81500,26,2007,2017,4,21,2017-04-21,2017-04,2306.8888308552496
로얄팰리스,정자동,28-1,158.69,90000,18,2003,2017,4,10,2017-04-10,2017-04,1874.8629403239024
미켈란쉐르빌,정자동,180,155.1,96000,22,2003,2017,4,6,2017-04-06,2017-04,2046.1431334622823
파크뷰,정자동,6,84.99,80000,5,2004,2017,4,5,2017-04-05,2017-04,3111.7072596776093
분당더샾스타파크,정자동,174-1,84.9316,74920,8,2007,2017,4,3,2017-04-03,2017-04,2916.1176287742137
파크뷰,정자동,6,84.99,85000,27,2004,2017,5,12,2017-05-12,2017-05,3306.18896340746
미켈란쉐르빌,정자동,180,150.91,83000,21,2003,2017,5,29,2017-05-29,2017-05,1818.1790471141744
파크뷰,정자동,6,139.717,106500,12,2004,2017,5,25,2017-05-25,2017-05,2519.8630087963525
파크뷰,정자동,6,139.68,122300,32,2004,2017,5,23,2017-05-23,2017-05,2894.468356242841
현대I-PARK3,정자동,11,163.74,98000,4,2003,2017,5,18,2017-05-18,2017-05,1978.5538048125077
삼성아데나루체,정자동,170-1,153.25,88500,22,2004,2017,5,19,2017-05-19,2017-05,1909.059053833605
현대I-PARK1,정자동,9,80.31,63400,23,2003,2017,5,20,2017-05-20,2017-05,2609.733781596314
파크뷰,정자동,6,139.717,110500,9,2004,2017,5,9,2017-05-09,2017-05,2614.505750910769
분당더샾스타파크,정자동,174-1,116.7905,85000,21,2007,2017,5,29,2017-05-29,2017-05,2405.9576763521004
분당더샾스타파크,정자동,174-1,84.9316,77000,13,2007,2017,5,29,2017-05-29,2017-05,2997.07764836645
미켈란쉐르빌,정자동,180,165.25,89900,31,2003,2017,5,4,2017-05-04,2017-05,1798.435219364599
분당더샾스타파크,정자동,174-1,116.4607,82500,24,2007,2017,5,25,2017-05-25,2017-05,2341.80715039494
파크뷰,정자동,6,139.68,107000,31,2004,2017,5,19,2017-05-19,2017-05,2532.3639747995417
분당더샾스타파크,정자동,174-1,116.7905,82000,5,2007,2017,5,30,2017-05-30,2017-05,2321.041523069085
미켈란쉐르빌,정자동,180,134.99,89900,33,2003,2017,5,31,2017-05-31,2017-05,2201.5810060004446
현대I-PARK3,정자동,11,153.39,94600,28,2003,2017,5,21,2017-05-21,2017-05,2038.7814068713735
삼성아데나루체,정자동,170-1,127.75,85000,5,2004,2017,5,25,2017-05-25,2017-05,2199.553816046967
동양정자파라곤(3단지),정자동,13-1,146.37,89000,12,2004,2017,5,13,2017-05-13,2017-05,2010.085400013664
미켈란쉐르빌,정자동,180,157.03,95300,31,2003,2017,5,15,2017-05-15,2017-05,2006.25829459339
