dong,apt_name,base_count,base_median_pp,base_avg_pp,base_median_price,base_median_area,end_count,end_median_pp,end_avg_pp,end_median_price,end_median_area,median_growth_pct,avg_growth_pct,two_window_count
원천동,광교호반베르디움,29,4732.768235258783,4766.189029776096,87000.0,59.9306,18,5886.362168646645,5848.333629585924,108000.0,59.9512,24.37461282793589,22.704609344054184,47
이의동,광교센트럴뷰,33,5203.6823487796255,5204.598501218198,131300.0,84.81,5,6209.080310880829,6258.968293549316,154500.0,84.81,19.320894219013773,20.258427082979203,38
하동,광교더리브,26,4533.188606661185,4529.434235531863,114000.0,84.81,9,5255.334432406971,5358.534676488151,133000.0,84.81,15.930195904151145,18.304724118793423,35
이의동,광교2차e편한세상,11,3737.2367297671262,3773.476698708012,96000.0,84.6861,13,4215.879583544407,4168.897131244938,108000.0,84.6861,12.807399915688666,10.478941944237064,24
하동,광교호수마을호반써밋,9,4129.814967589865,4225.79064720577,106000.0,84.94,14,4633.824821680777,4417.72468421939,125750.0,84.96,12.204175200252365,4.5419674810566635,23
하동,광교더포레스트,33,3157.2904138662893,3014.3424053704157,80000.0,84.81,29,3508.100459851433,3445.4133594016207,89700.0,84.81,11.111111111111116,14.300663164980865,62
이의동,자연앤힐스테이트,45,6259.502958579881,6264.516098340547,160000.0,84.49,8,6875.0891906058205,6837.224362362603,175500.0,84.475,9.834426728437883,9.142099007036864,53
하동,광교모아엘가레이크뷰,11,3026.491409743469,3084.3215412892964,77800.0,84.98,10,3209.325723699694,3193.4930813417327,81000.0,84.98,6.041131105398478,3.5395641664131006,21
이의동,광교역참누리포레스트,10,3855.623539383084,3866.3611107923994,69500.0,59.5477,13,4079.15850335682,4093.3063712192725,73500.0,59.5653,5.797634589851652,5.869737821265253,23
이의동,광교 해모로 아파트,14,2789.9148158935322,2802.705448380176,68500.0,84.8,7,2923.7617924528304,2833.759426159887,75000.0,84.8,4.7975291502379,1.1080000503677079,21
이의동,광교e편한세상,21,5108.416646689281,5149.822050518621,176600.0,119.7187,13,5201.255054459394,5440.4824613125775,186000.0,119.7187,1.8173617030686096,5.6440864935262125,34
원천동,주공,27,2781.5145278450364,2752.6080331015364,33500.0,41.3,17,2780.20824989988,2744.7659106553983,37000.0,41.3,-0.046962830216412677,-0.284897898713965,44
원천동,원천레이크파크,30,2475.410576707043,2454.5468819578305,45800.0,59.99,31,2369.5515919319887,2419.5876587315697,44300.0,59.94,-4.276421284257226,-1.4242638216947046,61
