dong,apt_name,base_count,base_median_pp,base_avg_pp,base_median_price,base_median_area,end_count,end_median_pp,end_avg_pp,end_median_price,end_median_area,median_growth_pct,avg_growth_pct,two_window_count
매탄동,한국2,20,1245.8018945634267,1233.0942613948378,27450.0,72.84,11,3154.2160900604063,3144.3140382407264,69500.0,72.84,153.18761384335153,154.9938100177335,31
원천동,주공,32,1416.5822987585102,1409.509996216175,18350.0,41.3,2,3538.6107857273764,3538.6107857273764,48750.0,45.62,149.79916725125025,151.0525498383669,34
매탄동,원천성일,21,1271.4615384615383,1275.026977751453,19000.0,49.94,2,2798.254742795427,2798.254742795427,40000.0,47.07,120.08174515300713,119.46631652690441,23
원천동,원천레이크파크,30,1353.0009197324416,1341.5575148634914,24225.0,59.8,6,2961.9394899149856,2953.007559096122,55000.0,59.99,118.91629537847726,120.1178500644903,36
이의동,자연앤힐스테이트,78,2660.2887573964495,2652.8161857645323,68000.0,84.49,9,5709.769312670058,5666.636931626949,146000.0,84.5,114.62968246567526,113.60835183512137,87
망포동,늘푸른벽산,38,1045.1660877244626,1078.6696862437977,25300.0,84.925,4,2208.135729076214,2278.2102371620754,43500.0,59.884,111.27127592551065,111.20554941108831,42
매탄동,동남,42,1277.6038647342996,1273.8014722797332,19200.0,49.68,3,2694.9456521739135,2661.674718196458,40500.0,49.68,110.93750000000004,108.95522388059705,45
하동,광교호수마을호반써밋,22,2210.3379767149495,2245.5679987869594,60500.0,84.94,6,4638.733917530808,4522.4434923926665,130250.0,98.02,109.86536748669499,101.39419046030494,28
원천동,삼성1,18,1042.7330077330078,1034.4733663455886,15500.0,49.14,5,2085.4660154660155,2031.6475376475378,31000.0,49.14,100.0,96.39437840962464,23
이의동,광교e편한세상,38,2356.5521028511052,2372.3088902391373,78750.0,101.9421,7,4653.754522411036,4737.438168470336,165000.0,120.594,97.48150345501085,99.69735762330616,45
영통동,신나무실휴먼시아5단지,38,1336.316886147691,1342.4312152718364,23250.0,59.99,10,2630.8615592684146,2630.207878751453,46000.0,59.99,96.87407878625348,95.92868884673895,48
매탄동,성일,39,1290.9122383252818,1289.6409708304693,18700.0,49.68,5,2528.5909822866347,2416.802640877611,38000.0,49.68,95.87628865979383,87.40119890276917,44
원천동,광교호반베르디움,47,2313.9816721341017,2316.9733590700007,42000.0,59.9306,7,4451.449843652492,4355.390505175446,80700.0,59.9306,92.3718712753278,87.97758239756529,54
망포동,동수원자이1차,44,1175.935225635763,1113.208389069661,32000.0,84.9688,5,2256.550639764243,2203.991141329882,59900.0,84.9688,91.89412737799833,97.9854951660774,49
영통동,황골마을주공1,67,1405.1991998666444,1401.1029580026654,24600.0,59.99,22,2688.756331206595,2641.1479926405086,47500.0,59.99,91.34342885063998,88.50491875383537,89
영통동,벽적골주공휴먼시아8단지,37,1421.7309551591932,1419.2332718237544,24500.0,59.99,15,2700.1866977829636,2736.7830588398574,47500.0,59.94,89.92248062015503,92.8353226473485,52
영통동,청명마을(주공),27,1498.8791465244208,1494.42386096174,27000.0,59.99,9,2837.95132522087,2800.3544046156803,51500.0,59.99,89.33823529411762,87.38689054479534,36
영통동,벽적골롯데,23,1615.4092728485657,1630.1724346666888,25700.0,49.71,13,3032.04926624738,2908.4973530496673,36000.0,49.71,87.69542290052306,78.41654607810551,36
매탄동,삼성2,20,1106.6106628298407,1153.27369308615,27350.0,84.81,7,2017.679274184046,2029.392783103897,51500.0,84.81,82.32964329337,75.96801134631454,27
영통동,황골마을(쌍용),13,1420.7200668896323,1367.7101600929554,25700.0,59.79,9,2587.1478260869567,2527.8027222182136,46800.0,59.79,82.10116731517508,84.82005880883514,22
매탄동,삼성1,28,1324.8485433715991,1323.6792343577217,21950.0,55.16,5,2397.244379985497,2440.545786345235,40000.0,55.16,80.94478738564061,84.37592152221389,33
영통동,벽적골9단지주공,36,1578.9417790095913,1566.2644688525454,27600.0,59.39,10,2838.7910422630075,2914.346662673814,50750.0,59.39,79.79073579544335,86.06989564213774,46
영통동,영통에듀파크(321동~327동),16,1589.4765772128062,1597.6500362580248,40450.0,84.96,4,2844.093700001583,2836.284924042283,68250.0,79.375,78.93272167550809,77.52854878565003,20
영통동,벽적골우성,19,1535.7827540106953,1539.2884471673096,27800.0,59.84,4,2709.422371566658,2730.266038626023,49000.0,59.785,76.41963777044663,77.37195674081887,23
매탄동,주공그린빌3,18,1280.3789608483248,1309.502885108262,32825.0,84.45,5,2255.987763266267,2191.6050809875383,57700.0,84.51,76.19687860003144,67.3616076688788,23
망포동,그대가프리미어,19,1632.2931123515382,1731.1358513062748,49450.0,101.6675,2,2844.1813826672096,2844.1813826672096,111500.0,138.1174,74.24452514963953,64.29567792273821,21
매탄동,현대힐스테이트,62,1545.764766401984,1555.8032670101134,34250.0,75.814,10,2688.211591644602,2778.869063697964,66000.0,84.975,73.9081941880359,78.61313976016353,72
영통동,영통센트럴파크뷰,19,1454.7944657442906,1429.5891021714663,26000.0,59.99,6,2522.4703283880644,2515.430049099599,45775.0,59.99,73.39015151515152,75.95475827836128,25
매탄동,임광,28,1086.2970059269865,1083.166626238779,27875.0,84.95,3,1867.9034726309592,1875.0008824342858,43000.0,73.91,71.95145180732526,73.103642321874,31
매탄동,주공그린빌5,18,1615.7926111595466,1628.524718180463,24400.0,47.84,4,2734.473579564965,2810.587286523235,42500.0,52.900000000000006,69.23419259867858,72.58487115034278,22
매탄동,매탄위브하늘채,91,1744.9083340901882,1788.7813253904617,43700.0,84.7807,18,2768.2519093609735,2740.2818956120955,74150.0,84.818,58.647411745234535,53.19267127377556,109
