dong,apt_name,base_count,base_median_pp,base_avg_pp,base_median_price,base_median_area,end_count,end_median_pp,end_avg_pp,end_median_price,end_median_area,median_growth_pct,avg_growth_pct,two_window_count
매탄동,백자,1,1214.5557782231128,1214.5557782231128,22000.0,59.88,2,3312.4248496993982,3312.4248496993982,60000.0,59.88,172.72727272727272,172.72727272727272,3
매탄동,삼성3,14,1222.5264390896923,1227.663104800153,22100.0,59.76,3,3180.7814591700135,3355.954930834449,57500.0,59.76,160.1809954751131,173.36122733612274,17
매탄동,한국2,20,1245.8018945634267,1233.0942613948378,27450.0,72.84,11,3154.2160900604063,3144.3140382407264,69500.0,72.84,153.18761384335153,154.9938100177335,31
원천동,주공,32,1416.5822987585102,1409.509996216175,18350.0,41.3,2,3538.6107857273764,3538.6107857273764,48750.0,45.62,149.79916725125025,151.0525498383669,34
영통동,신나무실건영,5,1262.8788665529262,1359.5744678199148,47700.0,134.81,2,2913.0622715668865,2913.0622715668865,104500.0,117.38499999999999,130.66838385839773,114.26279622902875,7
매탄동,한국1,4,919.5478715229754,920.5387951146474,34700.0,130.14,1,2106.681639733406,2106.681639733406,69800.0,109.53,129.0997244378668,128.8531076488777,5
영통동,신나무실신원,7,1293.5371728572272,1282.322698044998,43300.0,101.714,1,2925.0840592248856,2925.0840592248856,90000.0,101.714,126.13065326633163,128.1082650790169,8
영통동,청명마을동신,12,1310.8078477734068,1349.48440829621,48000.0,117.255,3,2945.9917893261236,2950.596530242732,101000.0,99.87,124.74627340157514,118.64621125693513,15
매탄동,원천성일,21,1271.4615384615383,1275.026977751453,19000.0,49.94,2,2798.254742795427,2798.254742795427,40000.0,47.07,120.08174515300713,119.46631652690441,23
원천동,원천레이크파크,30,1353.0009197324416,1341.5575148634914,24225.0,59.8,6,2961.9394899149856,2953.007559096122,55000.0,59.99,118.91629537847726,120.1178500644903,36
망포동,쌍용스윗닷홈2차,5,1020.324267523652,1117.3961745547408,25400.0,84.8867,1,2213.1100898084333,2213.1100898084333,40000.0,59.7494,116.90262206344428,98.0595728001585,6
이의동,자연앤힐스테이트,78,2660.2887573964495,2652.8161857645323,68000.0,84.49,9,5709.769312670058,5666.636931626949,146000.0,84.5,114.62968246567526,113.60835183512137,87
영통동,건영1차,12,1350.7729067271105,1262.4815660611673,42250.0,99.96,1,2897.7773855747737,2897.7773855747737,74500.0,84.99,114.52735475691594,129.53027303325996,13
이의동,자연앤자이1단지,3,2230.3850451224757,2196.2381711575194,78500.0,116.43,1,4741.635317358069,4741.635317358069,167000.0,116.43,112.59267890660082,115.89804692534815,4
망포동,늘푸른벽산,38,1045.1660877244626,1078.6696862437977,25300.0,84.925,4,2208.135729076214,2278.2102371620754,43500.0,59.884,111.27127592551065,111.20554941108831,42
매탄동,동남,42,1277.6038647342996,1273.8014722797332,19200.0,49.68,3,2694.9456521739135,2661.674718196458,40500.0,49.68,110.93750000000004,108.95522388059705,45
이의동,오드카운티,5,1863.3140657624303,1855.149983463113,69000.0,122.2325,2,3929.804108683854,3929.804108683854,145000.0,121.9758,110.90401134689323,111.83215070017508,7
하동,광교호수마을호반써밋,22,2210.3379767149495,2245.5679987869594,60500.0,84.94,6,4638.733917530808,4522.4434923926665,130250.0,98.02,109.86536748669499,101.39419046030494,28
영통동,살구골마을진덕서광성지동아,11,1273.3451851851853,1272.3962420328235,39800.0,101.25,3,2611.99012345679,2566.4114961264154,86000.0,101.25,105.12820512820511,101.69907858468909,14
망포동,엘지동수원자이,15,1177.6570822524836,1215.816088358798,36000.0,109.0998,3,2394.8197585992843,2323.121047387266,57300.0,84.9838,103.35459232485195,91.07503755137782,18
망포동,e편한세상영통2차(2단지),4,1608.9702368661692,1627.67827122793,35900.0,74.5822,6,3241.478040850661,3170.3853508708926,59850.0,59.9158,101.46289636557646,94.77960767265974,10
이의동,광교역참누리포레스트,12,2207.0867211627015,2201.2371880132036,39800.0,59.5477,2,4438.935742163629,4438.935742163629,80000.0,59.5803,101.12194503282504,101.65640333244284,14
영통동,현대,4,1503.8435428800965,1446.1394837092876,46100.0,99.58,1,3020.9660574412533,3020.9660574412533,91000.0,99.58,100.88300220750553,108.8986637507885,5
원천동,삼성1,18,1042.7330077330078,1034.4733663455886,15500.0,49.14,5,2085.4660154660155,2031.6475376475378,31000.0,49.14,100.0,96.39437840962464,23
매탄동,우남퍼스트빌,14,1218.815944569803,1238.5849966220853,43650.0,101.945,1,2415.8330472313505,2415.8330472313505,74500.0,101.945,98.2114738484202,95.04782100702813,15
이의동,광교e편한세상,38,2356.5521028511052,2372.3088902391373,78750.0,101.9421,7,4653.754522411036,4737.438168470336,165000.0,120.594,97.48150345501085,99.69735762330616,45
영통동,신나무실휴먼시아5단지,38,1336.316886147691,1342.4312152718364,23250.0,59.99,10,2630.8615592684146,2630.207878751453,46000.0,59.99,96.87407878625348,95.92868884673895,48
매탄동,성일,39,1290.9122383252818,1289.6409708304693,18700.0,49.68,5,2528.5909822866347,2416.802640877611,38000.0,49.68,95.87628865979383,87.40119890276917,44
이의동,래미안광교,8,2290.577876063083,2277.6824854414212,75900.0,120.97,2,4471.04806635824,4471.04806635824,162400.0,120.03999999999999,95.19301714564831,96.29812737009911,10
망포동,센트럴하이츠,9,1815.062209312088,1647.854050766376,33450.0,59.557,2,3538.53871081485,3538.53871081485,63750.0,59.557,94.95412844036694,114.73617212453759,11
