region,apt_name,dong,jibun,area_m2,price_manwon,floor,build_year,deal_year,deal_month,deal_day,deal_date,deal_ym,price_per_pyeong
수원시 영통구,청명센트레빌,영통동,1166,84.9466,39400,10,2013,2017,4,21,2017-04-21,2017-04,1533.298801835506
수원시 영통구,청명센트레빌,영통동,1166,84.9466,38200,7,2013,2017,4,2,2017-04-02,2017-04,1486.599345942039
수원시 영통구,벽적골한신,영통동,973-3,59.73,29300,9,1997,2017,4,29,2017-04-29,2017-04,1621.629666834087
수원시 영통구,신나무실휴먼시아5단지,영통동,964-5,49.59,21200,5,1997,2017,4,8,2017-04-08,2017-04,1413.2478322242387
수원시 영통구,성일,매탄동,810-4,49.68,19200,12,1988,2017,4,21,2017-04-21,2017-04,1277.6038647342996
수원시 영통구,영통에듀파크(331동~337동),영통동,957-6,84.96,40800,11,1997,2017,4,18,2017-04-18,2017-04,1587.531073446328
수원시 영통구,매탄위브하늘채,매탄동,1352,59.9845,36900,13,2008,2017,4,18,2017-04-18,2017-04,2033.5923446890447
수원시 영통구,황골마을(쌍용),영통동,1052-2,59.79,26000,5,1998,2017,4,21,2017-04-21,2017-04,1437.544739923064
수원시 영통구,엘지동수원자이,망포동,698,110.5997,36000,6,2003,2017,4,8,2017-04-08,2017-04,1076.0318518042998
수원시 영통구,벽적골9단지주공,영통동,970-3,59.39,26200,3,1999,2017,4,8,2017-04-08,2017-04,1458.3593197507998
수원시 영통구,매탄주공5,매탄동,897,73.08,39000,8,1985,2017,4,15,2017-04-15,2017-04,1764.1789819376027
수원시 영통구,SummitPlace광교,이의동,1332,116.345,81200,21,2015,2017,4,29,2017-04-29,2017-04,2307.19807469165
수원시 영통구,매탄레이크파크,매탄동,1230,59.99,23000,12,1999,2017,4,29,2017-04-29,2017-04,1267.4345724287382
수원시 영통구,주공그린빌5,매탄동,1282,59.92,28700,4,2002,2017,4,29,2017-04-29,2017-04,1583.3855140186915
수원시 영통구,벽적골주공휴먼시아8단지,영통동,972-2,59.99,25600,13,1997,2017,4,28,2017-04-28,2017-04,1410.7097849641607
수원시 영통구,동남,매탄동,810-2,49.68,19200,9,1989,2017,4,28,2017-04-28,2017-04,1277.6038647342996
수원시 영통구,매탄위브하늘채,매탄동,1352,84.818,43500,21,2008,2017,4,29,2017-04-29,2017-04,1695.4219623193192
수원시 영통구,벽적골주공휴먼시아8단지,영통동,972-2,49.59,21700,15,1997,2017,4,20,2017-04-20,2017-04,1446.5791490219801
수원시 영통구,벽적골주공휴먼시아8단지,영통동,972-2,59.99,25800,20,1997,2017,4,25,2017-04-25,2017-04,1421.7309551591932
수원시 영통구,영통에듀파크(321동~327동),영통동,957-6,84.96,40000,9,1997,2017,4,29,2017-04-29,2017-04,1556.4030131826744
수원시 영통구,청명마을대우,영통동,956-2,134.64,49000,19,1998,2017,4,29,2017-04-29,2017-04,1203.0912061794415
수원시 영통구,영통센트럴파크뷰,영통동,948-4,59.39,22450,15,1999,2017,4,14,2017-04-14,2017-04,1249.6246842902847
수원시 영통구,늘푸른벽산,망포동,488,59.884,20500,1,2000,2017,4,15,2017-04-15,2017-04,1131.6695611515597
수원시 영통구,원천성일,매탄동,1199,44.2,17000,4,1992,2017,4,21,2017-04-21,2017-04,1271.4615384615383
수원시 영통구,광교호수마을호반써밋,하동,994,84.96,58800,25,2011,2017,4,22,2017-04-22,2017-04,2287.912429378531
수원시 영통구,매탄주공4,매탄동,897,53.1,31500,5,1985,2017,4,28,2017-04-28,2017-04,1961.0677966101696
