region,apt_name,dong,jibun,area_m2,price_manwon,floor,build_year,deal_year,deal_month,deal_day,deal_date,deal_ym,price_per_pyeong
수원시 영통구,대우월드마크,영통동,996-3,127.9754,52500,20,2008,2017,4,28,2017-04-28,2017-04,1356.1551673212198
수원시 영통구,영통하우스토리,영통동,958-3,163.894,49250,12,2008,2017,4,11,2017-04-11,2017-04,993.3899349579606
수원시 영통구,대우월드마크,영통동,996-3,116.8695,44700,35,2008,2017,5,20,2017-05-20,2017-05,1264.3954153992274
수원시 영통구,대우월드마크,영통동,996-3,116.8695,46800,26,2008,2017,5,12,2017-05-12,2017-05,1323.7965422971777
수원시 영통구,대우월드마크,영통동,996-3,127.9754,51000,27,2008,2017,6,29,2017-06-29,2017-06,1317.4078768263278
수원시 영통구,광교중흥에스클래스,원천동,589,109.2168,203000,26,2019,2022,4,22,2022-04-22,2022-04,6144.452135568887
수원시 영통구,힐스테이트광교,하동,1021,145.1829,310000,48,2018,2022,4,15,2022-04-15,2022-04,7058.668755066886
수원시 영통구,힐스테이트광교,하동,1021,97.1202,171000,43,2018,2022,4,29,2022-04-29,2022-04,5820.537848974776
수원시 영통구,힐스테이트광교,하동,1021,97.5548,180000,27,2018,2022,4,14,2022-04-14,2022-04,6099.587103863675
수원시 영통구,영통하우스토리,영통동,958-3,163.894,102950,25,2008,2022,4,14,2022-04-14,2022-04,2076.5379452573
수원시 영통구,광교중흥에스클래스,원천동,589,109.5277,251000,40,2019,2022,4,16,2022-04-16,2022-04,7575.762113145806
수원시 영통구,광교아이파크,원천동,593,90.9186,152000,34,2018,2022,4,7,2022-04-07,2022-04,5526.719505139762
수원시 영통구,대우월드마크,영통동,996-3,116.8695,84000,29,2008,2022,4,1,2022-04-01,2022-04,2376.045075918011
수원시 영통구,광교중흥에스클래스,원천동,589,109.2168,202000,41,2019,2022,5,11,2022-05-11,2022-05,6114.183898447858
수원시 영통구,광교더샵,원천동,604,84.2888,123000,35,2018,2022,5,14,2022-05-14,2022-05,4824.050170366644
수원시 영통구,광교푸르지오월드마크,이의동,1331,106.471,140000,32,2015,2022,5,12,2022-05-12,2022-05,4346.8362277051965
수원시 영통구,힐스테이트광교,하동,1021,97.406,160000,24,2018,2022,5,10,2022-05-10,2022-05,5430.137773853766
수원시 영통구,광교푸르지오월드마크,이의동,1331,84.92,115000,26,2015,2022,6,20,2022-06-20,2022-06,4476.766368346679
수원시 영통구,힐스테이트광교,하동,1021,97.1202,160000,49,2018,2022,6,24,2022-06-24,2022-06,5446.117285590434
수원시 영통구,광교푸르지오월드마크,이의동,1331,106.471,135000,25,2015,2022,6,22,2022-06-22,2022-06,4191.592076715726
수원시 영통구,힐스테이트광교,하동,1021,97.1202,160000,33,2018,2022,6,20,2022-06-20,2022-06,5446.117285590434
수원시 영통구,광교아이파크,원천동,593,84.1116,135000,23,2018,2022,6,2,2022-06-02,2022-06,5305.843664845277
수원시 영통구,광교중흥에스클래스,원천동,589,129.4158,290000,47,2019,2025,6,27,2025-06-27,2025-06,7407.766285105838
수원시 영통구,광교푸르지오월드마크,이의동,1331,106.471,137000,30,2015,2025,6,5,2025-06-05,2025-06,4253.689737111514
수원시 영통구,광교푸르지오월드마크,이의동,1331,84.92,116000,10,2015,2025,6,13,2025-06-13,2025-06,4515.6947715496935
수원시 영통구,광교푸르지오월드마크,이의동,1331,106.471,137000,10,2015,2025,6,21,2025-06-21,2025-06,4253.689737111514
수원시 영통구,광교중흥에스클래스,원천동,589,98.9859,174000,28,2019,2025,6,26,2025-06-26,2025-06,5811.02156973872
수원시 영통구,힐스테이트광교,하동,1021,97.5548,155000,35,2018,2025,6,27,2025-06-27,2025-06,5252.422228327054
수원시 영통구,광교아이파크,원천동,593,84.1006,121000,40,2018,2025,6,21,2025-06-21,2025-06,4756.230038786882
수원시 영통구,힐스테이트광교,하동,1021,97.591,162000,22,2018,2025,6,26,2025-06-26,2025-06,5487.592093533216
수원시 영통구,광교아이파크,원천동,593,84.1116,128000,43,2018,2025,6,29,2025-06-29,2025-06,5030.725845186634
수원시 영통구,광교중흥에스클래스,원천동,589,84.9723,130000,17,2019,2025,6,27,2025-06-27,2025-06,5057.577587048955
수원시 영통구,광교중흥에스클래스,원천동,589,129.4158,270000,38,2019,2025,6,27,2025-06-27,2025-06,6896.885851650262
수원시 영통구,광교중흥에스클래스,원천동,589,84.9007,171000,40,2019,2025,6,20,2025-06-20,2025-06,6658.270190940711
수원시 영통구,광교중흥에스클래스,원천동,589,84.9723,165000,32,2019,2025,6,25,2025-06-25,2025-06,6419.233091254444
수원시 영통구,대우월드마크,영통동,996-3,127.9754,76000,22,2008,2025,6,30,2025-06-30,2025-06,1963.1960517411944
수원시 영통구,광교중흥에스클래스,원천동,589,129.4158,296000,5,2019,2025,6,24,2025-06-24,2025-06,7561.03041514251
수원시 영통구,광교중흥에스클래스,원천동,589,98.933,176000,39,2019,2025,6,23,2025-06-23,2025-06,5880.957819938746
수원시 영통구,광교중흥에스클래스,원천동,589,84.9388,111000,38,2019,2025,6,27,2025-06-27,2025-06,4320.0963517261835
수원시 영통구,광교중흥에스클래스,원천동,589,84.9723,162500,33,2019,2025,6,18,2025-06-18,2025-06,6321.971983811194
수원시 영통구,광교중흥에스클래스,원천동,589,109.6186,212000,42,2019,2025,6,21,2025-06-21,2025-06,6393.345654843248
수원시 영통구,광교중흥에스클래스,원천동,589,84.9723,159000,4,2019,2025,6,21,2025-06-21,2025-06,6185.806433390646
수원시 영통구,광교중흥에스클래스,원천동,589,84.9388,160000,43,2019,2025,6,28,2025-06-28,2025-06,6227.165912398103
수원시 영통구,광교중흥에스클래스,원천동,589,84.9723,160500,23,2019,2025,6,28,2025-06-28,2025-06,6244.163097856595
수원시 영통구,광교중흥에스클래스,원천동,589,98.9859,170000,48,2019,2025,6,16,2025-06-16,2025-06,5677.434866986106
수원시 영통구,광교중흥에스클래스,원천동,589,98.933,172500,10,2019,2025,6,28,2025-06-28,2025-06,5764.006954201328
수원시 영통구,힐스테이트광교,하동,1021,97.5548,146000,31,2018,2025,6,28,2025-06-28,2025-06,4947.442873133869
수원시 영통구,힐스테이트광교,하동,1021,97.406,142000,18,2018,2025,6,28,2025-06-28,2025-06,4819.247274295218
수원시 영통구,광교아이파크,원천동,593,90.9186,122500,1,2018,2025,6,27,2025-06-27,2025-06,4454.099601181716
수원시 영통구,광교중흥에스클래스,원천동,589,84.9388,165000,22,2019,2025,6,13,2025-06-13,2025-06,6421.7648471605435
수원시 영통구,광교아이파크,원천동,593,84.254,130000,30,2018,2025,6,26,2025-06-26,2025-06,5100.695515939896
수원시 영통구,광교푸르지오월드마크,이의동,1331,106.471,137000,30,2015,2025,6,5,2025-06-05,2025-06,4253.689737111514
수원시 영통구,광교중흥에스클래스,원천동,589,84.9007,162000,6,2019,2025,6,26,2025-06-26,2025-06,6307.834917733305
수원시 영통구,광교중흥에스클래스,원천동,589,84.9388,163000,9,2019,2025,6,7,2025-06-07,2025-06,6343.925273255567
수원시 영통구,광교중흥에스클래스,원천동,589,84.9388,163000,17,2019,2025,6,16,2025-06-16,2025-06,6343.925273255567
수원시 영통구,광교아이파크,원천동,593,84.1006,121000,40,2018,2025,6,21,2025-06-21,2025-06,4756.230038786882
수원시 영통구,광교아이파크,원천동,593,90.9452,149000,5,2018,2025,6,27,2025-06-27,2025-06,5416.05494297665
수원시 영통구,광교중흥에스클래스,원천동,589,84.9723,162500,46,2019,2025,6,10,2025-06-10,2025-06,6321.971983811194
수원시 영통구,광교중흥에스클래스,원천동,589,84.9723,165000,34,2019,2025,6,19,2025-06-19,2025-06,6419.233091254444
수원시 영통구,광교아이파크,원천동,593,90.9186,134900,48,2018,2025,6,13,2025-06-13,2025-06,4904.963560811539
수원시 영통구,광교중흥에스클래스,원천동,589,129.4158,290000,47,2019,2025,6,27,2025-06-27,2025-06,7407.766285105838
수원시 영통구,광교더샵,원천동,604,84.1755,121500,15,2018,2025,6,14,2025-06-14,2025-06,4771.634264126736
수원시 영통구,광교더샵,원천동,604,84.2888,113000,30,2018,2025,6,14,2025-06-14,2025-06,4431.850969523828
수원시 영통구,광교중흥에스클래스,원천동,589,84.9388,161000,12,2019,2025,6,23,2025-06-23,2025-06,6266.085699350591
수원시 영통구,광교더샵,원천동,604,91.2841,127500,8,2018,2025,6,26,2025-06-26,2025-06,4617.337520992156
수원시 영통구,광교중흥에스클래스,원천동,589,84.9388,160000,39,2019,2025,6,16,2025-06-16,2025-06,6227.165912398103
수원시 영통구,광교더샵,원천동,604,91.3754,128800,8,2018,2025,6,25,2025-06-25,2025-06,4659.7556891679815
수원시 영통구,광교아이파크,원천동,593,90.9486,133500,17,2018,2025,6,13,2025-06-13,2025-06,4852.458421569986
수원시 영통구,광교아이파크,원천동,593,90.9452,142500,10,2018,2025,6,13,2025-06-13,2025-06,5179.784089759548
수원시 영통구,대우월드마크,영통동,996-3,116.8695,74000,28,2008,2025,6,9,2025-06-09,2025-06,2093.1825668801525
수원시 영통구,광교중흥에스클래스,원천동,589,84.9388,163500,40,2019,2025,6,14,2025-06-14,2025-06,6363.385166731811
수원시 영통구,광교중흥에스클래스,원천동,589,109.2168,223000,33,2019,2025,6,2,2025-06-02,2025-06,6749.816877989467
수원시 영통구,광교중흥에스클래스,원천동,589,84.9388,167000,42,2019,2025,6,14,2025-06-14,2025-06,6499.60442106552
수원시 영통구,광교중흥에스클래스,원천동,589,84.9388,157000,6,2019,2025,6,23,2025-06-23,2025-06,6110.406551540638
수원시 영통구,광교푸르지오월드마크,이의동,1331,108.131,140000,21,2015,2025,6,6,2025-06-06,2025-06,4280.104687832351
수원시 영통구,광교중흥에스클래스,원천동,589,98.9859,174000,33,2019,2025,6,21,2025-06-21,2025-06,5811.02156973872
수원시 영통구,광교중흥에스클래스,원천동,589,84.9388,158500,47,2019,2025,6,9,2025-06-09,2025-06,6168.78623196937
수원시 영통구,광교중흥에스클래스,원천동,589,98.9859,172000,32,2019,2025,6,14,2025-06-14,2025-06,5744.228218362413
수원시 영통구,광교푸르지오월드마크,이의동,1331,84.92,116000,10,2015,2025,6,17,2025-06-17,2025-06,4515.6947715496935
수원시 영통구,광교중흥에스클래스,원천동,589,109.2168,217000,7,2019,2025,6,16,2025-06-16,2025-06,6568.207455263293
수원시 영통구,광교중흥에스클래스,원천동,589,109.5277,205000,48,2019,2025,6,8,2025-06-08,2025-06,6187.37543105534
수원시 영통구,광교더샵,원천동,604,91.345,119000,11,2018,2025,6,17,2025-06-17,2025-06,4306.641852318135
수원시 영통구,광교중흥에스클래스,원천동,589,109.5277,227000,42,2019,2025,6,12,2025-06-12,2025-06,6851.386452924694
수원시 영통구,광교푸르지오월드마크,이의동,1331,84.916,123000,30,2015,2025,6,13,2025-06-13,2025-06,4788.419143624287
수원시 영통구,힐스테이트광교,하동,1021,97.5548,159000,28,2018,2025,6,3,2025-06-03,2025-06,5387.9686084129125
수원시 영통구,광교중흥에스클래스,원천동,589,98.9859,170000,48,2019,2025,6,16,2025-06-16,2025-06,5677.434866986106
수원시 영통구,광교중흥에스클래스,원천동,589,98.933,175000,30,2019,2025,6,12,2025-06-12,2025-06,5847.543286870912
수원시 영통구,광교중흥에스클래스,원천동,589,84.9723,151000,2,2019,2025,6,14,2025-06-14,2025-06,5874.570889572248
수원시 영통구,광교아이파크,원천동,593,90.9452,142500,10,2018,2025,6,13,2025-06-13,2025-06,5179.784089759548
수원시 영통구,힐스테이트광교,하동,1021,107.9173,173000,13,2018,2025,6,4,2025-06-04,2025-06,5299.45986417377
수원시 영통구,광교아이파크,원천동,593,84.254,137000,47,2018,2025,6,3,2025-06-03,2025-06,5375.348351413582
수원시 영통구,힐스테이트광교,하동,1021,97.591,152000,25,2018,2025,6,3,2025-06-03,2025-06,5148.85184084598
수원시 영통구,광교중흥에스클래스,원천동,589,84.9388,161500,13,2019,2025,6,7,2025-06-07,2025-06,6285.545592826835
수원시 영통구,대우월드마크,영통동,996-3,116.8695,72500,30,2008,2025,6,7,2025-06-07,2025-06,2050.7531905244737
수원시 영통구,광교중흥에스클래스,원천동,589,129.4158,310000,20,2019,2025,6,3,2025-06-03,2025-06,7918.646718561413
수원시 영통구,광교중흥에스클래스,원천동,589,109.2168,190000,14,2019,2025,6,4,2025-06-04,2025-06,5750.96505299551
수원시 영통구,광교더샵,원천동,604,84.2888,114500,11,2018,2025,7,19,2025-07-19,2025-07,4490.68084965025
수원시 영통구,광교아이파크,원천동,593,90.9186,133000,30,2018,2025,7,19,2025-07-19,2025-07,4835.879566997292
수원시 영통구,광교중흥에스클래스,원천동,589,109.6186,177000,15,2019,2025,7,28,2025-07-28,2025-07,5337.840475977618
수원시 영통구,광교아이파크,원천동,593,90.952,130000,19,2018,2025,7,26,2025-07-26,2025-07,4725.063769900607
수원시 영통구,광교중흥에스클래스,원천동,589,109.2168,219000,12,2019,2025,7,18,2025-07-18,2025-07,6628.743929505351
수원시 영통구,광교중흥에스클래스,원천동,589,129.4158,317000,20,2019,2025,7,19,2025-07-19,2025-07,8097.454870270864
수원시 영통구,광교중흥에스클래스,원천동,589,129.4158,312000,8,2019,2025,7,16,2025-07-16,2025-07,7969.73476190697
수원시 영통구,광교아이파크,원천동,593,90.9186,136800,23,2018,2025,7,26,2025-07-26,2025-07,4974.047554625786
수원시 영통구,광교중흥에스클래스,원천동,589,98.9859,175000,37,2019,2025,7,5,2025-07-05,2025-07,5844.418245426874
수원시 영통구,광교푸르지오월드마크,이의동,1331,106.471,139000,23,2015,2025,7,5,2025-07-05,2025-07,4315.787397507303
수원시 영통구,광교중흥에스클래스,원천동,589,84.9388,161000,44,2019,2025,7,12,2025-07-12,2025-07,6266.085699350591
수원시 영통구,힐스테이트광교,하동,1021,97.1202,176000,27,2018,2025,7,18,2025-07-18,2025-07,5990.729014149477
수원시 영통구,힐스테이트광교,하동,1021,97.1202,136500,6,2018,2025,7,16,2025-07-16,2025-07,4646.218809269339
수원시 영통구,광교중흥에스클래스,원천동,589,84.9388,164000,42,2019,2025,7,5,2025-07-05,2025-07,6382.845060208056
수원시 영통구,광교중흥에스클래스,원천동,589,84.9723,165000,32,2019,2025,7,1,2025-07-01,2025-07,6419.233091254444
수원시 영통구,힐스테이트광교,하동,1021,97.591,158000,16,2018,2025,7,5,2025-07-05,2025-07,5352.095992458321
수원시 영통구,광교더샵,원천동,604,91.3754,128000,32,2018,2025,8,29,2025-08-29,2025-08,4630.813107247684
수원시 영통구,광교더샵,원천동,604,91.2841,128000,38,2018,2025,8,30,2025-08-30,2025-08,4635.444726956831
수원시 영통구,광교중흥에스클래스,원천동,589,109.2168,210000,4,2019,2025,8,30,2025-08-30,2025-08,6356.32979541609
수원시 영통구,광교중흥에스클래스,원천동,589,84.9388,153500,12,2019,2025,8,27,2025-08-27,2025-08,5974.1872972069295
수원시 영통구,힐스테이트광교,하동,1021,97.591,150000,14,2018,2025,8,27,2025-08-27,2025-08,5081.1037903085335
수원시 영통구,광교중흥에스클래스,원천동,589,98.9859,175000,46,2019,2025,8,30,2025-08-30,2025-08,5844.418245426874
수원시 영통구,광교중흥에스클래스,원천동,589,109.2168,245000,34,2019,2025,8,23,2025-08-23,2025-08,7415.718094652105
수원시 영통구,광교중흥에스클래스,원천동,589,109.5277,188000,17,2019,2025,8,26,2025-08-26,2025-08,5674.276005065385
수원시 영통구,광교중흥에스클래스,원천동,589,109.5277,202000,8,2019,2025,8,23,2025-08-23,2025-08,6096.828473527701
수원시 영통구,광교아이파크,원천동,593,90.952,133500,31,2018,2025,8,19,2025-08-19,2025-08,4852.277025244085
수원시 영통구,광교더샵,원천동,604,84.1755,119000,17,2018,2025,8,20,2025-08-20,2025-08,4673.452489144704
수원시 영통구,광교아이파크,원천동,593,84.1116,132500,32,2018,2025,8,15,2025-08-15,2025-08,5207.587300681476
수원시 영통구,광교아이파크,원천동,593,90.9452,147500,31,2018,2025,8,12,2025-08-12,2025-08,5361.530899926549
수원시 영통구,힐스테이트광교,하동,1021,97.1202,140000,10,2018,2025,8,8,2025-08-08,2025-08,4765.35262489163
수원시 영통구,광교중흥에스클래스,원천동,589,129.4158,290000,5,2019,2026,2,12,2026-02-12,2026-02,7407.766285105838
수원시 영통구,광교중흥에스클래스,원천동,589,109.6186,192500,21,2019,2026,2,28,2026-02-28,2026-02,5805.278483760968
수원시 영통구,광교중흥에스클래스,원천동,589,109.5277,215000,9,2019,2026,2,24,2026-02-24,2026-02,6489.198622814138
수원시 영통구,힐스테이트광교,하동,1021,97.5548,156000,21,2018,2026,2,28,2026-02-28,2026-02,5286.308823348519
수원시 영통구,광교중흥에스클래스,원천동,589,84.9388,174000,45,2019,2026,2,28,2026-02-28,2026-02,6772.0429297329365
수원시 영통구,광교아이파크,원천동,593,90.9452,155000,41,2018,2026,2,28,2026-02-28,2026-02,5634.151115177052
수원시 영통구,광교아이파크,원천동,593,90.9452,160000,41,2018,2026,2,12,2026-02-12,2026-02,5815.897925344054
수원시 영통구,광교중흥에스클래스,원천동,589,109.6186,200000,36,2019,2026,2,24,2026-02-24,2026-02,6031.45816494646
수원시 영통구,광교중흥에스클래스,원천동,589,109.5277,189000,25,2019,2026,2,24,2026-02-24,2026-02,5704.458324241265
수원시 영통구,광교아이파크,원천동,593,84.1006,135000,34,2018,2026,2,21,2026-02-21,2026-02,5306.537646580405
수원시 영통구,광교중흥에스클래스,원천동,589,109.2168,194000,20,2019,2026,2,25,2026-02-25,2026-02,5872.038001479626
수원시 영통구,힐스테이트광교,하동,1021,97.1202,149000,23,2018,2026,2,24,2026-02-24,2026-02,5071.696722206091
수원시 영통구,광교더샵,원천동,604,91.3754,136500,28,2018,2026,2,21,2026-02-21,2026-02,4938.32804015085
수원시 영통구,광교아이파크,원천동,593,84.254,140000,38,2018,2026,2,6,2026-02-06,2026-02,5493.056709473734
수원시 영통구,광교푸르지오월드마크,이의동,1331,108.233,150000,17,2015,2026,2,19,2026-02-19,2026-02,4581.5047166760605
수원시 영통구,광교아이파크,원천동,593,90.952,147000,18,2018,2026,2,19,2026-02-19,2026-02,5342.956724426072
수원시 영통구,광교더샵,원천동,604,91.3754,139400,28,2018,2026,2,14,2026-02-14,2026-02,5043.24489961193
수원시 영통구,광교중흥에스클래스,원천동,589,109.5277,213000,5,2019,2026,2,13,2026-02-13,2026-02,6428.833984462378
수원시 영통구,광교중흥에스클래스,원천동,589,109.2168,225000,25,2019,2026,2,6,2026-02-06,2026-02,6810.353352231525
수원시 영통구,광교중흥에스클래스,원천동,589,129.4158,290000,5,2019,2026,2,12,2026-02-12,2026-02,7407.766285105838
수원시 영통구,영통하우스토리,영통동,958-3,163.894,91000,24,2008,2026,2,12,2026-02-12,2026-02,1835.502214846181
수원시 영통구,광교푸르지오월드마크,이의동,1331,84.92,144000,26,2015,2026,2,11,2026-02-11,2026-02,5605.690061234102
수원시 영통구,광교푸르지오월드마크,이의동,1331,84.92,140000,19,2015,2026,2,8,2026-02-08,2026-02,5449.976448422044
수원시 영통구,광교아이파크,원천동,593,90.9186,148000,42,2018,2026,2,7,2026-02-07,2026-02,5381.279518162401
